name,price,series,authors,genres,formats,producer,description
"Манга Берсерк, том 3",,"Берсерк,Berserk",Кэнтаро Миура,"боевик,приключения,трагедия,ужасы,фэнтези","468 страниц, твердый переплет",XL Media,"Проиграв в поединке Гриффиту, харизматичному лидеру Отряда Соколов, Гатс вынужден вступить в ряды его наемников. Впереди их ждет множество ожесточенных кровавых битв, во время которых нелюдимый юноша, старавшийся при всех казаться изгоем, начинает понимать, что он вовсе не одинок и находит себе верных и преданных товарищей., Череда небывалых побед Отряда Соколов обращают на себя внимание правителя королевства Мидленд, погрязшего в столетней войне с империей Тюдоров. Амбициозные устремления Гриффита, еще недавно казавшиеся Гатсу несбыточными, постепенно начинают воплощаться в жизнь. Но молодой воин еще не знает, что на полях сражений могут повстречаться настоящие чудовища, чья сила и мастерство запредельно выше человеческих..."
Манга Переулок,950,"Rojiura,Переулок",Дзюндзи Ито,ужасы,376 страниц,Фабрика комиксов,
"Манга Эльф не может похудеть, том 3",449,"Эльф не может похудеть,Elf-san wa Yaserarenai","Синекдоха,Synecdoche","комедия,фэнтези,эротика",162 страницы,Фабрика комиксов,"Наоэ Томоацу, юный консультант в популярной клинике сэйтай-терапии, помогает инопланетной эльфийке поправить фигуру."
"Манга Железный миротворец, том 9",549,"Железный миротворец,Peace Maker Kurogane",Nanae Chrono,"приключения,драма,боевик",186 страниц,Фабрика комиксов,"15 летний Тэцу Итимура вступает в самурайский полк, созданный для охраны порядка в Киото, мечтает стать сильным и отомстить убийцам своих родителей."
"Гостья М, том 1",690,"Seirichan,Гостья М",Кэн Кояма,комедия,220 страниц,Фабрика комиксов,"Если с ней подружиться, жизнь станет намного счастливее. Забавные и трогательные рассказы о нежеланной гостье, являющейся каждый месяц, и женщинах, у которых и без нее хватает проблем."
"Манга Рыцари «Сидонии», том 9",480,"Рыцари Сидонии,Sidonia no Kishi",Цутому Нихэй,"драма,меха,фантастика,сэйнэн","190 страницы, мягкий переплет, суперобложка",XL Media,"«Сидония» готовится к бою с большим кораблем-кластером, но отряд, отправившийся к седьмой планете звездной системы Лема, попадает в засаду. Нагатэ и Цумуги бросаются на выручку к Идзане, оказавшейся посреди целого полчища Гауна. Нагатэ и не подозревает, что ради спасения подруги ему придется столкнуться со знакомым врагом и взглянуть в лицо давним страхам..."
"Манга Очень приятно, бог. Том 18",480,"Очень приятно бог,Kamisama Hajimemashita",Джульетта Судзуки,"комедия,романтика,сёдзё,фантастика,школа","194 страницы, мягкий переплет, суперобложка",XL Media,"Нанами наконец возвращается в свое время, и выясняется, что ее чувства к Томоэ давно уже взаимны. И все бы хорошо, но школу и обязанности богини никто не отменял. Томоэ ради Нанами хочет лучше освоиться в мире людей и берется за учебу, и сама она тоже, решив не отставать, начинает с пылом готовиться к экзаменам. Выходит, даже рядом с любимым будни часто — тяжелый труд, а не один только праздник!.. А в школе тем временем планируется экскурсия на Окинаву, о которой Нанами давно мечтала..."
"Манга Очень приятно, бог. Том 17",480,"Очень приятно бог,Kamisama Hajimemashita",Джульетта Судзуки,"комедия,романтика,сёдзё,фантастика,школа","194 страницы, мягкий переплет, суперобложка",XL Media,"Нанами совершает еще одно путешествие во времени и снова находит падшего бога Куромаро. Тот показывает ей, как причудливо сплелись судьбы в прошлом и будущем, и Нанами наконец понимает, в кого именно был влюблен Томоэ на самом деле, и узнает причину своего странного сходства с Юкидзи..."
"Манга Очень приятно, бог. Том 16",480,"Очень приятно бог,Kamisama Hajimemashita",Джульетта Судзуки,"комедия,романтика,сёдзё,фантастика,школа","194 страницы, мягкий переплет, суперобложка",XL Media,"Нанами узнает, что Акурао собирается похитить Юкидзи прямо со свадебной процессии, чтобы насолить Томоэ. Отец девушки и слышать не хочет о том, чтобы перенести церемонию. Тогда Нанами решает подменить Юкидзи, сев в паланкин вместо нее. Но Томоэ тоже не собирается оставаться в стороне..."
"Манга Эмбрион мира, том 11",580,Эмбрион мира,"Морияма Дайсукэ,Daisuke Moriyama","ужасы,мистика",218 страниц,Фабрика комиксов,"Рику Аманэ потерял женщину, которой восхищался больше всего на свете. Долгими бессонными ночами он лелеял воспоминания о ней. Два года спустя он стал свидетелем кровавого сражения с участием людей, превратившихся в чудовищ. Он должен был умереть, но его спас кокон. Рожденная коконом женщина как две капли воды походила ну ту, что он потерял. С ее появлением начались поиски истины. Поиски, в ходе которых так легко расстаться с жизнью."
